"Purchasing Power of Peso (2018=100): January 2018 - January 2025"

"Geolocation","Description","2020 Jan","2020 Feb","2020 Mar","2020 Apr","2020 May","2020 Jun","2020 Jul","2020 Aug","2020 Sep","2020 Oct","2020 Nov","2020 Dec","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec"
"..National Capital Region (NCR)","Purchasing Power of Peso",0.96,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.94,0.93,0.94,0.94,0.95,0.94,0.94,0.94,0.93,0.94,0.93,0.93,0.92,0.92,0.92,0.91,0.91,0.90,0.89,0.89,0.88,0.88,0.87,0.86,0.86,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.83,0.81,0.81,0.81,0.82,0.81,0.80
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.91,0.90,0.90,0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.80,0.80,0.80,0.80,0.80,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.79,0.78,0.78,0.78
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.92,0.91,0.90,0.90,0.90,0.90,0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.84,0.84,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.83,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.80,0.80,0.80,0.79,0.79
"....Abra","Purchasing Power of Peso",0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.96,0.95,0.93,0.93,0.92,0.93,0.94,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.90,0.89,0.88,0.88,0.85,0.85,0.85,0.84,0.84,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.83,0.81,0.82,0.82,0.82,0.83,0.82,0.81,0.81,0.81,0.82,0.80,0.80,0.79,0.79,0.78,0.78
"....Benguet","Purchasing Power of Peso",0.97,0.97,0.98,0.97,0.98,0.98,0.97,0.97,0.98,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.93,0.92,0.90,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.84,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.82,0.81,0.80,0.80,0.80,0.81,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.79,0.79
"....Ifugao","Purchasing Power of Peso",0.95,0.95,0.95,0.96,0.95,0.96,0.95,0.94,0.94,0.94,0.93,0.92,0.92,0.90,0.91,0.92,0.92,0.91,0.90,0.90,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.84,0.85,0.84,0.84,0.83,0.83,0.84,0.84,0.83,0.83,0.82,0.81,0.78,0.78,0.78,0.79,0.78,0.78,0.78,0.78,0.79,0.79,0.78,0.78,0.79,0.78,0.77,0.76
"....Kalinga","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.94,0.94,0.92,0.91,0.91,0.92,0.92,0.91,0.91,0.90,0.89,0.90,0.89,0.89,0.89,0.88,0.88,0.87,0.86,0.84,0.84,0.84,0.83,0.83,0.81,0.81,0.80,0.80,0.82,0.82,0.83,0.83,0.82,0.81,0.80,0.80,0.80,0.81,0.81,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78
"....Mountain Province","Purchasing Power of Peso",0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.90,0.89,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.88,0.88,0.87,0.87,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.81,0.80,0.80,0.79,0.79,0.79,0.79,0.80,0.81,0.81,0.81,0.80,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.76,0.77,0.76,0.76,0.75
"....Apayao","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.95,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.78,0.79,0.79,0.80,0.80,0.79,0.78,0.79,0.79,0.78,0.78
"....City of Baguio","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.90,0.89,0.89,0.89,0.88,0.88,0.88,0.87,0.86,0.86,0.85,0.85,0.86,0.87,0.86,0.86,0.86,0.85,0.83,0.83,0.83,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.81,0.81
